Feature_Name,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Feature_Type,Quad,Approval_Status,Origin
Creel,9.19,-6.05,-38.85,-5.97,-6.12,-38.77,-38.93,"Crater, craters",mc19,Approved,Town in Mexico.
Crewe,3.68,-24.84,-19.53,-24.81,-24.87,-19.49,-19.56,"Crater, craters",mc19,Approved,Town in England.
Crivitz,6.19,-14.55,174.79,-14.5,-14.6,174.85,174.74,"Crater, craters",mc23,Approved,Town in Germany.
Crommelin,110.08,5.08,-10.14,6.01,4.15,-9.2,-11.06,"Crater, craters",mc11,Approved,Andrew C.; British astronomer (1865-1939).
Cross,66.57,-30.2,-157.69,-29.64,-30.76,-157.04,-158.34,"Crater, craters",mc24,Approved,Charles Arthur; British astronomer and cartographer (1920-1980).
Crotone,6.28,82.21,-69.31,82.27,82.16,-68.92,-69.7,"Crater, craters",mc01,Approved,Town in Italy.
Cruls,87.89,-42.91,163.03,-42.17,-43.65,164.04,162.02,"Crater, craters",mc29,Approved,Luiz; Brazilian astronomer (1848-1908).
Cruz,5.33,38.46,-1.97,38.51,38.42,-1.91,-2.02,"Crater, craters",mc04,Approved,Town in Venezuela.
Cue,10.54,-35.84,93.23,-35.75,-35.92,93.34,93.12,"Crater, craters",mc28,Approved,Town in Western Australia.
Culter,4.87,-8.84,-53.93,-8.8,-8.88,-53.89,-53.98,"Crater, craters",mc18,Approved,"Village near Aberdeen, Scotland, also called Peterculter."
Curie,111.11,28.78,-4.75,29.72,27.85,-3.67,-5.81,"Crater, craters",mc11,Approved,Pierre; French physicist-chemist (1859-1906).
Cusus Valles,250.24,14.05,50.37,16.15,11.93,52.69,48.37,"Vallis, valles",mc13,Approved,Classical name for modern Hron River in Czechoslovakia.
Cyane Catena,204.06,36.25,-118.3,37.91,34.61,-117.73,-118.87,"Catena, catenae",mc03,Approved,Classical albedo feature Cyane Fons.
Cyane Fossae,913.17,31.25,-121.17,38.96,23.52,-114.81,-126.03,"Fossa, fossae",mc02,Approved,Classical albedo feature name.
Cyane Sulci,335.94,25.4,-128.66,27.91,22.76,-126.59,-130.71,"Sulcus, sulci",mc09,Approved,Classical albedo feature name.
Cyclopia,0,-4.94,130,-4.94,-4.94,130,130,Albedo Feature,mc22,Approved,Land where Cyclops dwelt.
Cydnus Rupēs,1550.81,52.53,112.21,67.34,45.86,136.85,94.98,"Rupes, rupēs",mc06,Approved,"From albedo feature at 70N, 248W."
Cydonia,0,39.67,0,39.67,39.67,0,0,Albedo Feature,mc04,Approved,Poetic term for Crete.
Cydonia Colles,362.78,39.07,-12.22,41.67,37.12,-8.76,-16.47,"Collis, colles",mc04,Approved,"Named for classical albedo feature at 50N, 355W."
Cydonia Labyrinthus,344.05,41.29,-12.06,43.05,39.78,-8.71,-15.69,"Labyrinthus, labyrinthi",mc04,Approved,"Named for classical albedo feature at 50N, 355W."
Cydonia Mensae,764.96,34.56,-12.33,40.65,29.75,-8.98,-19.84,"Mensa, mensae",mc04,Approved,"From albedo feature at 50N, 355W."
Cypress,14.67,-47.28,-47.35,-47.17,-47.39,-47.2,-47.51,"Crater, craters",mc26,Approved,"Town in Illinois, USA."
Daan,12.22,-40.48,91.58,-40.37,-40.58,91.72,91.44,"Crater, craters",mc28,Approved,Town in China.
Dacono,2.2,18.34,77.95,18.36,18.32,77.97,77.93,"Crater, craters",mc13,Approved,"Town in Colorado, USA."
Daedalia Planum,1922.02,-18.35,-125.95,-2.13,-34.56,-109.36,-142.91,"Planum, plana",mc17,Approved,Classical albedo feature name.
Daet,10.58,-7.29,-41.8,-7.19,-7.37,-41.71,-41.89,"Crater, craters",mc19,Approved,Town in the Philippines.
Daga Vallis,49.86,-12.07,-42.42,-11.8,-12.47,-41.93,-42.91,"Vallis, valles",mc19,Approved,River in Burma.
Dalu Cavus,65,-6.9,-99,-6.4,-7.5,-98.5,-99.5,"Cavus, cavi",mc17,Approved,Javanese word for night.
Daly,79.72,-66.29,-23.12,-65.62,-66.97,-21.43,-24.8,"Crater, craters",mc30,Approved,Reginald A.; Canadian-born American geologist (1871-1957).
Dana,88.49,-72.49,-32.79,-71.75,-73.24,-30.29,-35.26,"Crater, craters",mc30,Approved,James D.; American geologist (1813-1895).
Danielson,64.3,7.97,-7.05,8.52,7.43,-6.5,-7.59,"Crater, craters",mc11,Approved,"G. Edward Danielson, Jr.; American Engineer (1939-2005)."
Dank,8.29,21.96,107,22.03,21.89,107.07,106.92,"Crater, craters",mc14,Approved,Town in Oman.
Dao Vallis,794,-37.61,88.89,-32.67,-39.76,93.88,82.04,"Vallis, valles",mc28,Approved,"Word for ""star"" in Thai."
Darvel,22.36,17.78,-51.01,17.97,17.59,-50.81,-51.21,"Crater, craters",mc10,Approved,Town in Scotland.
Darwin,176.38,-56.97,-19.15,-55.48,-58.46,-16.41,-21.87,"Crater, craters",mc26,Approved,Charles R.; British naturalist (1809-1882) and George H.; British astronomer (1845-1912).
Davies,48.06,45.96,0.09,46.37,45.56,0.68,-0.49,"Crater, craters",mc05,Approved,"Merton Edward; American engineer, planetary geodesist (1917-2001)."
Da Vinci,96.3,1.47,-39.26,2.28,0.65,-38.45,-40.08,"Crater, craters",mc11,Approved,Leonardo; Italian artist-scientist (1452-1519).
Dawes,185.32,-9.11,38.06,-7.54,-10.67,39.64,36.48,"Crater, craters",mc20,Approved,William R.; British astronomer (1799-1868).
Deba,8.8,-23.95,-17.3,-23.88,-24.03,-17.22,-17.38,"Crater, craters",mc19,Approved,Town in Nigeria.
Dechu,22,-42.25,-157.99,-42.06,-42.43,-157.75,-158.24,"Crater, craters",mc24,Approved,Village in India.
Degana,57,-23.72,-45.5,-23.25,-24.2,-44.99,-46,"Crater, craters",mc18,Approved,Town in India.
Dein,25.52,38.21,-2.51,38.42,37.99,-2.25,-2.79,"Crater, craters",mc04,Approved,Town in New Guinea.
Dejnev,152.09,-25.14,-164.64,-23.85,-26.42,-163.22,-166.05,"Crater, craters",mc16,Approved,"Semen Ivanovich; Russian geographer, explorer, and navigator (1605-1673)."
Delta,7.89,-45.96,-39.17,-45.89,-46.03,-39.08,-39.27,"Crater, craters",mc26,Approved,"Town in Louisiana, USA."
Deltoton Sinus,0,-3.95,55,-3.95,-3.95,55,55,Albedo Feature,mc21,Approved,"""Bay of the triangle""; makes triangle with Iapygia and Oenotria."
Denning,159.71,-17.43,33.52,-16.08,-18.78,34.94,32.11,"Crater, craters",mc20,Approved,William F.; British astronomer (1848-1931).
Depressio Hellespontica,0,-59.71,20,-59.71,-59.71,20,20,Albedo Feature,mc27,Approved,Depression southwest of Hellespontus.
Dersu,5.88,22.64,-51.89,22.69,22.59,-51.84,-51.94,"Crater, craters",mc10,Approved,Town in Russia.
Dese,13.14,-45.41,-30.61,-45.3,-45.52,-30.46,-30.77,"Crater, craters",mc26,Approved,Town in Ethiopa.
Deseado,27,-80.62,70.29,-80.39,-80.85,71.69,68.88,"Crater, craters",mc30,Approved,Town in Argentina.
Dessau,9.95,-42.76,-53.13,-42.68,-42.84,-53.01,-53.24,"Crater, craters",mc26,Approved,Town in Germany.
Deucalionis Regio,0,-14.83,20,-14.83,-14.83,20,20,Albedo Feature,mc20,Approved,"""Deucalion's region;"" Deucalion was King of Thessaly who saved himself from flood."
Deuteronilus,0,34.68,0,34.68,34.68,0,0,Albedo Feature,mc04,Approved,"Designation of 2nd part of old feature ""Nilus."""
Deuteronilus Colles,59.01,41.95,21.7,42.38,41.48,22.31,20.97,"Collis, colles",mc05,Approved,Classical albedo feature name.
Deuteronilus Mensae,919.17,45.11,23.92,49.86,39.57,35.37,13.68,"Mensa, mensae",mc05,Approved,"From albedo feature at 35N, 355W."
de Vaucouleurs,302.27,-13.31,171,-10.78,-15.88,173.62,168.38,"Crater, craters",mc23,Approved,Gerard Henri; American astronomer (1918-1995).
Deva Vallis,53.65,-7.67,-156.87,-7.3,-8.17,-156.41,-157.32,"Vallis, valles",mc16,Approved,Classical name for Dee River in Scotland; new position and coordinates.
Dia-Cau,29.47,-0.36,-42.66,-0.11,-0.61,-42.42,-42.91,"Crater, craters",mc19,Approved,Town in the Socialist Republic of Vietnam.
Diacria,0,49.67,180,49.67,49.67,180,180,Albedo Feature,mc07,Approved,"Highland area in northern Attica, Greece."
Dilly,2.13,13.27,157.22,13.28,13.25,157.24,157.2,"Crater, craters",mc15,Approved,Town in Mali.
Dingo,15.56,-23.71,-17.49,-23.57,-23.83,-17.35,-17.63,"Crater, craters",mc19,Approved,Town in Australia.
Dinorwic,51.33,-30.03,-101.46,-29.6,-30.47,-100.96,-101.96,"Crater, craters",mc25,Approved,"Town in Ontario, Canada."
Dionysus Patera,23,17.96,-133.23,18.13,17.78,-133.11,-133.46,"Patera, paterae",mc09,Approved,"Greek god of wine, celebration and ecstasy, patron god of the art and theatre, one of the Olympian gods, son of Zeus."
Dioscuria,0,49.67,40,49.67,49.67,40,40,Albedo Feature,mc05,Approved,"""Home of Dioscuri,"" Polydeuces and Pollux; symbolic name for Sparta."
Dison,20.67,-25.03,-16.5,-24.86,-25.21,-16.31,-16.69,"Crater, craters",mc19,Approved,Town in Belgium.
Dittaino Valles,157.42,-1.43,-66.86,-0.4,-2.48,-66.16,-67.35,"Vallis, valles",mc18,Approved,Modern river in Italy.
Dixie,28.44,17.78,-55.91,18.02,17.54,-55.66,-56.16,"Crater, craters",mc10,Approved,"Town in Georgia, USA."
Doanus Vallis,139.91,-63.02,-25.59,-62.65,-63.2,-23.4,-27.67,"Vallis, valles",mc26,Approved,Classical river shown in Ptolemy's map; may be modern Mekong River of Burma.
Doba,25.89,10.92,119.62,11.14,10.7,119.85,119.4,"Crater, craters",mc14,Approved,Town in the Republic of Chad.
Dogana,41.2,-10.01,-53.67,-9.67,-10.35,-53.32,-54.01,"Crater, craters",mc18,Approved,Town in the Republic of San Marino.
Dokka,51.1,77.17,-145.76,77.6,76.74,-143.8,-147.68,"Crater, craters",mc01,Approved,Town in Norway.
Dokuchaev,74.74,-60.62,-127.08,-59.99,-61.26,-125.79,-128.36,"Crater, craters",mc24,Approved,Vasily Vasil'evich; Russian soil scientist; founded modern genetical soil science (1840-1903).
Dollfus,363.08,-21.59,-4.26,-18.5,-24.68,-0.97,-7.76,"Crater, craters",mc19,Approved,Audouin Charles; French astronomer (1924-2010).
Domoni,13.82,51.38,-125.61,51.5,51.27,-125.43,-125.79,"Crater, craters",mc02,Approved,Town in the Union of the Comoros.
Doon,3.79,23.53,109.51,23.56,23.5,109.54,109.47,"Crater, craters",mc14,Approved,"Town in Ontario, Canada."
Dorsa Argentea,339.26,-77.63,-33.39,-75.33,-79.18,-21.52,-44.04,"Dorsum, dorsa",mc30,Approved,Classical albedo feature name.
Dorsa Brevia,650.99,-71.05,63.18,-68.1,-73.25,80.79,49.16,"Dorsum, dorsa",mc30,Approved,Classical albedo feature name.
Douglass,92.95,-51.34,-70.54,-50.56,-52.13,-69.27,-71.78,"Crater, craters",mc25,Approved,Andrew E.; American astronomer (1867-1962).
Dowa,40.84,-31.66,110.24,-31.31,-32,110.65,109.84,"Crater, craters",mc28,Approved,Town in Malawi.
Downe,28.13,-15.98,175.78,-15.74,-16.22,176.03,175.54,"Crater, craters",mc23,Approved,Town in England.
Drava Valles,159.03,-48.86,165.99,-47.53,-50.4,168.15,164.42,"Vallis, valles",mc29,Approved,Modern river in Yugoslavia.
Drilon Vallis,118.53,7.17,-52.34,7.81,6.47,-51.9,-52.79,"Vallis, valles",mc10,Approved,"Classical name for present Drin River, Albania."
Dromore,14.75,19.88,-49.58,20.01,19.76,-49.45,-49.72,"Crater, craters",mc10,Approved,Town in Northern Ireland.
Dubis Vallis,45.42,-5.16,-148.13,-4.86,-5.5,-148,-148.15,"Vallis, valles",mc16,Approved,"Classical name for modern Doubs River, France."
Dubki,9.19,-34.97,-55.2,-34.89,-35.05,-55.11,-55.3,"Crater, craters",mc26,Approved,Town in Russia.
Dukhan,34.04,7.76,-39.14,8.04,7.47,-38.85,-39.43,"Crater, craters",mc11,Approved,Town in Qatar.
Dulce Vallis,32.46,-4.82,136.54,-4.59,-4.96,136.74,136.47,"Vallis, valles",mc23,Approved,River in Argentina.
Dulovo,17.38,3.62,84.56,3.77,3.48,84.71,84.41,"Crater, craters",mc13,Approved,Town in Bulgaria.
Du Martheray,96.12,5.45,93.58,6.27,4.64,94.4,92.77,"Crater, craters",mc14,Approved,Maurice; Swiss astronomer (1892-1955).
Dunhuang,11.73,-80.84,-48.53,-80.74,-80.94,-47.91,-49.15,"Crater, craters",mc30,Approved,Town in China.
Dunkassa,8,-37.49,-137.06,-37.42,-37.56,-136.98,-137.15,"Crater, craters",mc24,Approved,Town in Benin.
Durius Valles,240,-17.3,171.98,-15.62,-19.16,173.23,171.11,"Vallis, valles",mc23,Approved,"Classical name for modern Douro River, Portugal."
Dush,2.39,22.49,-54.02,22.51,22.47,-54,-54.04,"Crater, craters",mc10,Approved,Town in Egypt.
Du Toit,81.82,-71.62,-49.6,-70.93,-72.32,-47.39,-51.8,"Crater, craters",mc30,Approved,Alexander L.; South African geologist (1878-1948).
Dzeng,10.88,-80.51,-70.47,-80.42,-80.6,-69.89,-71,"Crater, craters",mc30,Approved,Town in Cameroon.
Dzígai Vallis,327.31,-58.1,-36.59,-55.71,-59.91,-33.56,-38.14,"Vallis, valles",mc26,Approved,"Word for ""valley"" in Navajo."
Eads,2.74,-28.48,-29.91,-28.46,-28.51,-29.88,-29.94,"Crater, craters",mc19,Approved,"Town in Colorado, USA."
Eagle,12.5,43.81,-8.17,43.91,43.7,-8.02,-8.31,"Crater, craters",mc04,Approved,"Town in Idaho, USA."
Eberswalde,62.19,-23.98,-33.3,-23.52,-24.44,-32.79,-33.81,"Crater, craters",mc19,Approved,Town in Germany.
Echt,2.15,-21.97,-28.19,-21.95,-21.99,-28.17,-28.21,"Crater, craters",mc19,Approved,Town in Scotland.
Echus Chaos,480.51,10.79,-74.72,14.75,6.82,-73.86,-76.95,"Chaos, chaoses",mc10,Approved,"From albedo feature Echus Lacus at 1N, 90W."
Echus Chasma,391.1,2.47,-79.96,5.74,-1.35,-77.43,-81.33,"Chasma, chasmata",mc10,Approved,Classical albedo feature name.
Echus Fossae,421.03,2.61,-76.75,6.55,-0.3,-75.42,-79.27,"Fossa, fossae",mc10,Approved,Classical albedo feature name.
Echus Montes,397.06,7.81,-77.95,11.09,4.56,-76.33,-79.09,"Mons, montes",mc10,Approved,Albedo feature name.
Echus Palus,715,12.29,-77.27,17.06,5.49,-74.31,-81.1,"Palus, paludes",mc10,Approved,"Classical albedo feature name, Echus Lacus."
Edam,19.49,-26.28,-20.04,-26.11,-26.44,-19.85,-20.22,"Crater, craters",mc19,Approved,Town in the Netherlands.
Eddie,86.38,12.32,142.2,13.05,11.6,142.94,141.45,"Crater, craters",mc15,Approved,Lindsay A.; South African astronomer (1845-1913).
Eden Patera,80,33.77,-11.06,34.38,33.2,-10.38,-11.72,"Patera, paterae",mc04,Approved,Classical albedo feature name.
Edom,0,0,15,0,0,15,15,Albedo Feature,,Approved,"Biblical country of Edomites, south of Judea."
Eger,12.25,-48.29,-51.87,-48.19,-48.4,-51.7,-52.02,"Crater, craters",mc26,Approved,Town in Hungary.
Ehden,57.4,8.23,119.01,8.71,7.75,119.5,118.52,"Crater, craters",mc14,Approved,Town in Lebanon.
Eil,5.56,41.73,-9.74,41.78,41.68,-9.68,-9.81,"Crater, craters",mc04,Approved,Town in Somalia.
Eilat,29.7,-56.53,50.2,-56.28,-56.78,50.66,49.75,"Crater, craters",mc27,Approved,Town in Israel. 
Ejriksson,46.63,-19.2,-173.83,-18.81,-19.59,-173.41,-174.24,"Crater, craters",mc16,Approved,Leif; Norse explorer (c. 1000).
Elath,13.23,45.87,-13.6,45.99,45.76,-13.44,-13.76,"Crater, craters",mc04,Approved,Town in Israel.
Elaver Vallis,178.92,-9.38,-49.52,-8.84,-10.19,-48.26,-50.71,"Vallis, valles",mc18,Approved,"Classical name for modern Allier River, France."
Electris,0,-44.66,170,-44.66,-44.66,170,170,Albedo Feature,mc29,Approved,Electra's island near River Eridanus; famous for amber formed from tears shed by Phaethon's sisters.
Electris Mons,104.47,-45.67,152.73,-44.99,-46.28,154,151.49,"Mons, montes",mc29,Approved,Classical albedo feature name.
Elim,43.63,-80.17,96.8,-79.8,-80.54,98.97,94.63,"Crater, craters",mc30,Approved,Town in South Africa.
Ellsley,10.94,36.29,-83.3,36.38,36.2,-83.18,-83.41,"Crater, craters",mc03,Approved,Town in England.
Elorza,45.16,-8.76,-55.21,-8.38,-9.14,-54.82,-55.59,"Crater, craters",mc18,Approved,Town in Venezuela.
Ely,10.43,-23.62,-27.3,-23.53,-23.7,-27.2,-27.4,"Crater, craters",mc19,Approved,"Town in Nevada, USA."
Elysium,0,24.74,150,24.74,24.74,150,150,Albedo Feature,mc15,Approved,Home of the blessed on western edge of world.
Elysium Catena,48.5,17.69,149.73,17.95,17.44,150.06,149.4,"Catena, catenae",mc15,Approved,Albedo feature name.
Elysium Chasma,130,22.39,141.51,23.28,21.46,142.41,141,"Chasma, chasmata",mc15,Approved,Albedo feature name.
Elysium Fossae,1044,24.08,146.14,28.78,16.21,151.58,135.51,"Fossa, fossae",mc15,Approved,Classical albedo feature name.
Elysium Mons,401,25.02,147.21,28.26,21.78,150.82,143.59,"Mons, montes",mc15,Approved,Classical albedo feature name.
Elysium Planitia,3000.79,2.98,154.74,11.4,-7.77,179.11,128.26,"Planitia, planitiae",mc15,Approved,Classical albedo feature name.
Elysium Rupes,140.5,25.24,148.04,26.11,24.09,148.2,147.31,"Rupes, rupēs",mc15,Approved,Albedo feature name.
E. Mareotis Tholus,4.6,35.92,-85.13,35.96,35.88,-85.09,-85.18,"Tholus, tholi",mc03,Approved,Classical albedo name.
Endeavour,21.78,-2.28,-5.2,-2.1,-2.47,-5.01,-5.38,"Crater, craters",mc19,Approved,Town in Canada.
Enipeus Vallis,527.07,36.8,-92.8,39.67,33.58,-92.57,-93.51,"Vallis, valles",mc03,Approved,Classical river.
Eos Chaos,497.85,-16.82,-46.52,-15.14,-19.08,-42.36,-50.97,"Chaos, chaoses",mc18,Approved,Greek name of Aurora; albedo feature.
Eos Chasma,1305.69,-12.15,-39.17,-6.19,-15.91,-29.05,-52.56,"Chasma, chasmata",mc19,Approved,Classical albedo feature name.
Eos Mensa,346.67,-11.01,-42.16,-8.27,-13.74,-39.46,-44.36,"Mensa, mensae",mc19,Approved,Classical albedo feature name.
Erebus Montes,811.67,35.66,-174.98,41.49,30.02,-168.68,-179.67,"Mons, montes",mc02,Approved,"From albedo feature at 26N, 182W."
Eridania,0,-44.66,140,-44.66,-44.66,140,140,Albedo Feature,mc29,Approved,"Region on the Po River, Italy."
Eridania Mons,143.29,-57.02,137.86,-55.9,-58.08,140.07,135.61,"Mons, montes",mc29,Approved,Classical albedo feature name.
Eridania Planitia,1062.13,-38.15,122.21,-32.65,-43.97,133.12,111.03,"Planitia, planitiae",mc29,Approved,Classical albedo feature name.
Eridania Scopulus,1017.66,-52.61,141.79,-46.32,-58.12,150.7,130.86,"Scopulus, scopuli",mc29,Approved,Classical albedo feature name.
Erythraea Fossa,155.19,-27.27,-30.94,-26.9,-27.58,-29.51,-32.35,"Fossa, fossae",mc19,Approved,Classical albedo feature name.
Erythraeum Chaos,147.63,-21.84,-12.38,-21,-22.44,-11.04,-13.7,"Chaos, chaoses",mc19,Approved,Classical albedo feature name.
Escalante,75.26,0.19,115.39,0.83,-0.44,116.03,114.76,"Crater, craters",mc14,Approved,F.; Mexican astronomer (c. 1930).
Escorial,22.24,76.89,-55.04,77.08,76.71,-54.21,-55.87,"Crater, craters",mc01,Approved,Town in Spain.
Esira,16.26,8.96,-46.61,9.09,8.82,-46.47,-46.75,"Crater, craters",mc10,Approved,Town in Madagascar.
Esk,3.67,45.21,-7.02,45.24,45.18,-6.98,-7.07,"Crater, craters",mc04,Approved,Town in Australia.
Espino,12.05,-19.69,110.34,-19.59,-19.79,110.45,110.23,"Crater, craters",mc22,Approved,Town in Venezuela.
Eudoxus,98.51,-44.52,-147.22,-43.69,-45.35,-146.05,-148.38,"Crater, craters",mc24,Approved,Greek astronomer (c. 408-355 B.C.).
Eumenides Dorsum,569.26,4.79,-156.4,9.47,-0.01,-155.06,-158.46,"Dorsum, dorsa",mc08,Approved,Classical albedo feature name.
Eunostos,0,21.77,-120,21.77,21.77,-120,-120,Albedo Feature,mc09,Approved,"""Lucky journey or lucky return""; i.e., infernal regions beyond Elysium."
Euphrates,0,19.78,25,19.78,19.78,25,25,Albedo Feature,mc12,Approved,Biblical fourth River of Paradise.
Euphrates Patera,20.27,38.43,10.26,38.59,38.27,10.5,10.06,"Patera, paterae",mc05,Approved,Classical albedo feature name.
Euripus Mons,88.91,-44.82,105.18,-44.22,-45.44,106.21,104.11,"Mons, montes",mc28,Approved,Albedo feature name.
Evpatoriya,1.04,46.95,134.36,46.96,46.94,134.37,134.35,"Crater, craters",mc07,Approved,Soviet tracking site (Soviet spelling used).
Evros Vallis,358.01,-12.65,13.83,-12.24,-13.01,16.36,11.5,"Vallis, valles",mc20,Approved,River in Greece.
Faith,5.3,42.92,-11.83,42.97,42.88,-11.77,-11.89,"Crater, craters",mc04,Approved,"Town in South Dakota, USA."
Falun,10.01,-23.96,-24.67,-23.87,-24.04,-24.58,-24.77,"Crater, craters",mc19,Approved,Town in Sweden.
Fancy,49.44,-35.45,113.6,-35.03,-35.87,114.09,113.11,"Crater, craters",mc28,Approved,Town in Saint Vincent and the Grenadines.
Faqu,12.25,-24.54,106.34,-24.44,-24.65,106.46,106.23,"Crater, craters",mc22,Approved,Town in Jordan.
Farah Vallis,76.37,-6.03,136.8,-5.49,-6.49,136.99,136.51,"Vallis, valles",mc23,Approved,River in Afghanistan.
Farim,3.92,-44.31,139.28,-44.28,-44.35,139.33,139.24,"Crater, craters",mc29,Approved,Town in the Republic of Guinea-Bissau.
Fastov,11.12,-25.04,-20.37,-24.94,-25.13,-20.27,-20.48,"Crater, craters",mc19,Approved,Town in Ukraine.
Felis Dorsa,244,-21.87,-65.9,-14.28,-28.16,-60.81,-70.75,"Dorsum, dorsa",mc18,Approved,Classical albedo feature name.
Fenagh,6.22,34.29,144.37,34.34,34.24,144.43,144.3,"Crater, craters",mc07,Approved,Town in Ireland.
Fesenkov,87.38,21.66,-86.53,22.4,20.93,-85.73,-87.31,"Crater, craters",mc10,Approved,Vasilii G.; Russian astrophysicist (1889-1972).
Firsoff,90,2.73,-9.37,3.43,1.95,-8.62,-10.13,"Crater, craters",mc11,Approved,Valdemar Axel; English astronomer (1910-1981).
Fitzroy,38.17,-35.69,112.06,-35.37,-36.01,112.46,111.66,"Crater, craters",mc28,Approved,Town in the Falkland Islands.
Flammarion,173.7,25.22,48.28,26.69,23.76,49.9,46.66,"Crater, craters",mc13,Approved,Camille; French astronomer (1842-1925).
Flat,3.04,-25.42,-19.55,-25.39,-25.44,-19.52,-19.58,"Crater, craters",mc19,Approved,"Town in Alaska, USA."
Flateyri,9.5,-35.86,-29.08,-35.78,-35.95,-28.98,-29.17,"Crater, craters",mc26,Approved,Village in Iceland.
Flaugergues,236.06,-16.8,19.22,-14.81,-18.79,21.3,17.14,"Crater, craters",mc20,Approved,Honore; French astronomer (1755-1835).
Floq,2.55,14.94,107.16,14.96,14.92,107.18,107.14,"Crater, craters",mc14,Approved,Town in Albania.
Flora,18.31,-44.67,-51.45,-44.51,-44.82,-51.23,-51.66,"Crater, craters",mc26,Approved,"Town in Mississippi, USA."
Focas,72.02,33.56,12.75,34.17,32.96,13.48,12.02,"Crater, craters",mc05,Approved,Jean H.; Greco-French astronomer (1909-1969).
Fontana,80.06,-62.91,-72.12,-62.23,-63.59,-70.62,-73.59,"Crater, craters",mc25,Approved,Francesco; Italian astronomer (1585-1646).
Foros,24.54,-33.4,-27.87,-33.19,-33.6,-27.62,-28.12,"Crater, craters",mc26,Approved,Town in Ukraine.
Fortuna Fossae,324.28,4.64,-92.69,7.15,1.83,-91.19,-94.44,"Fossa, fossae",mc09,Approved,Classical albedo feature name.
Fournier,114.28,-4.3,72.64,-3.34,-5.26,73.61,71.67,"Crater, craters",mc21,Approved,Georges; French astronomer (1881-1954).
Freedom,12.74,43.36,-8.98,43.47,43.25,-8.83,-9.13,"Crater, craters",mc04,Approved,"Town in Oklahoma, USA."
Frento Vallis,251.09,-50.03,-14.84,-49.69,-50.32,-12.01,-17.54,"Vallis, valles",mc26,Approved,Classical name for river in Italy.
Funchal,1.62,22.98,-49.44,22.99,22.97,-49.42,-49.45,"Crater, craters",mc10,Approved,Port of Madeira Islands.
Gaan,3.01,38.66,-3.4,38.69,38.64,-3.37,-3.44,"Crater, craters",mc04,Approved,Town in Somalia.
Gagra,13.41,-20.64,-22.1,-20.52,-20.75,-21.98,-22.22,"Crater, craters",mc19,Approved,Town in the Republic of Georgia.
Gah,2.78,-44.69,-32.64,-44.67,-44.72,-32.6,-32.67,"Crater, craters",mc26,Approved,Town in Indonesia.
Galap,5.99,-37.66,-167.07,-37.61,-37.71,-167.01,-167.13,"Crater, craters",mc24,Approved,Town in the Republic of Palau.
Galaxias Chaos,234.48,33.83,146.52,34.13,33.27,148.86,144.11,"Chaos, chaoses",mc07,Approved,Albedo feature name.
Galaxias Colles,610.34,36.8,147.48,42.17,33.61,152.69,139.97,"Collis, colles",mc07,Approved,Albedo feature name.
Galaxias Fluctūs,607.03,30.96,143.03,33.6,27.7,148.96,137.03,"Fluctus, fluctūs",mc07,Approved,Albedo feature name.
Galaxias Fossae,552,36.63,142,39.59,32.57,145.41,137.83,"Fossa, fossae",mc07,Approved,Albedo feature name.
Galaxius Mons,22.23,34.76,142.31,34.92,34.6,142.51,142.11,"Mons, montes",mc07,Approved,Classical albedo name.
Galdakao,33.44,-13.34,176.63,-13.06,-13.62,176.92,176.34,"Crater, craters",mc23,Approved,Euskadi (Basque) town in Spain.
Gale,154.08,-5.37,137.81,-4.07,-6.67,139.12,136.51,"Crater, craters",mc23,Approved,Walter F.; Australian astronomer (1865-1945).
Gali,25.86,-43.75,-37.19,-43.53,-43.97,-36.88,-37.48,"Crater, craters",mc26,Approved,Town in the Republic of Georgia.
Galilaei,137.17,5.72,-26.91,6.88,4.56,-25.74,-28.07,"Crater, craters",mc11,Approved,Galileo; Italian astronomer and physicist (1564-1642).
Galle,223.53,-50.63,-31,-48.78,-52.55,-28.03,-33.98,"Crater, craters",mc26,Approved,Johann G.; German astronomer (1812-1910).
Galu,13.57,-22.08,-21.67,-21.96,-22.19,-21.54,-21.79,"Crater, craters",mc19,Approved,Town in Zaire.
Gamboa,30.82,40.77,-44.36,41.03,40.51,-44.01,-44.7,"Crater, craters",mc04,Approved,Town in Panama.
Gan,20.63,61.72,-131,61.89,61.54,-130.65,-131.34,"Crater, craters",mc02,Approved,Town in the Republic of the Maldives.
Gander,36.08,-31.26,94.22,-30.95,-31.56,94.58,93.87,"Crater, craters",mc28,Approved,"Town in Newfoundland, Canada."
Gandu,9.49,-45.38,-47.28,-45.3,-45.46,-47.16,-47.39,"Crater, craters",mc26,Approved,Town in Brazil.
Gandzani,51.91,34.24,-90.83,34.65,33.83,-90.32,-91.34,"Crater, craters",mc03,Approved,Town in the Republic of Georgia.
Ganges Catena,81.27,-2.7,-68.78,-2.28,-3.23,-66.88,-70.89,"Catena, catenae",mc18,Approved,Classical albedo feature name.
Ganges Cavus,43.11,-10.09,-51.45,-9.82,-10.39,-51.09,-51.82,"Cavus, cavi",mc18,Approved,Classical albedo feature name.
Ganges Chaos,113.73,-9.76,-46.04,-8.8,-10.73,-45.43,-46.82,"Chaos, chaoses",mc18,Approved,Classical albedo feature name.
